Timestamp,Attack Type,Severity Level,Action Taken,Protocol,Network Segment,Traffic Type,Log Source,Anomaly Scores,Source IP Address,Destination IP Address
2020-12-29 02:50:47,DDoS,High,Ignored,TCP,Segment C,DNS,Firewall,44.75,119.101.120.119,47.125.34.52
2020-07-27 00:00:53,DDoS,High,Ignored,TCP,Segment B,HTTP,Server,13.19,104.176.150.78,110.80.185.102
2021-07-16 20:45:42,Malware,Medium,Blocked,ICMP,Segment A,DNS,Firewall,89.99,116.61.253.182,170.92.148.90
2022-04-29 14:46:46,Malware,Low,Blocked,UDP,Segment C,DNS,Server,86.91,214.247.90.42,196.26.121.164
2023-02-24 06:39:25,DDoS,High,Logged,UDP,Segment A,DNS,Server,72.25,57.7.171.107,76.146.23.52
2023-09-15 15:43:03,Malware,Medium,Logged,UDP,Segment A,HTTP,Firewall,96.27,46.236.76.78,68.194.124.162
2023-10-06 06:53:51,DDoS,Medium,Blocked,TCP,Segment C,DNS,Server,67.43,71.41.31.239,105.193.254.47
2023-10-06 02:37:35,Intrusion,Low,Logged,UDP,Segment C,DNS,Firewall,89.86,128.47.86.24,9.149.23.14
2021-01-31 03:12:04,Malware,High,Blocked,UDP,Segment C,FTP,Firewall,87.23,182.232.245.98,153.211.183.215
2020-08-28 09:54:45,DDoS,Low,Logged,TCP,Segment A,HTTP,Firewall,44.4,208.44.127.159,121.167.40.167
2021-05-29 15:33:51,Intrusion,Low,Blocked,ICMP,Segment C,HTTP,Firewall,45.42,197.137.61.248,87.49.219.65
2022-05-30 18:26:12,Intrusion,Medium,Ignored,UDP,Segment C,DNS,Firewall,25.7,69.60.34.24,160.208.108.125
2022-08-02 19:15:37,DDoS,Low,Logged,TCP,Segment C,HTTP,Firewall,69.2,110.207.118.63,172.36.150.79
2023-01-10 12:29:37,DDoS,Medium,Ignored,UDP,Segment A,HTTP,Firewall,77.06,188.40.103.145,84.139.233.32
2020-10-15 19:05:37,Malware,Medium,Ignored,TCP,Segment B,DNS,Server,3.87,99.8.190.190,91.166.229.253
2021-06-09 18:55:30,Malware,Low,Blocked,ICMP,Segment B,DNS,Firewall,25.93,128.62.6.140,4.104.218.143
2020-07-08 08:08:54,DDoS,High,Ignored,TCP,Segment C,FTP,Server,60.57,211.43.37.93,93.146.128.133
2023-09-23 19:07:33,Intrusion,Low,Blocked,ICMP,Segment A,FTP,Server,67.73,203.171.62.228,27.5.94.221
2022-05-22 03:10:27,DDoS,Medium,Blocked,UDP,Segment C,DNS,Firewall,75.16,115.120.220.179,72.56.150.150
2022-06-04 20:45:18,Malware,Low,Logged,UDP,Segment B,FTP,Server,75.46,140.29.40.43,61.57.62.247
2022-12-29 23:42:12,Malware,Medium,Logged,TCP,Segment C,HTTP,Firewall,49.03,76.128.95.185,142.92.111.242
2023-03-14 07:27:32,Intrusion,Medium,Blocked,TCP,Segment A,DNS,Server,85.28,118.23.216.0,109.17.204.56
2021-02-13 16:45:36,DDoS,Medium,Ignored,TCP,Segment A,DNS,Firewall,6.44,212.153.110.146,59.138.247.230
2021-05-23 16:29:26,DDoS,Low,Ignored,UDP,Segment B,DNS,Server,22.17,6.64.251.220,137.104.11.138
2022-12-01 08:47:07,DDoS,Low,Logged,TCP,Segment A,HTTP,Firewall,29.66,170.112.189.99,21.28.78.79
2022-07-21 20:33:30,Intrusion,High,Blocked,UDP,Segment A,FTP,Server,10.75,50.30.140.36,76.154.100.68
2023-06-09 05:57:13,Malware,High,Ignored,UDP,Segment A,DNS,Server,42.14,194.120.14.24,201.55.168.126
2020-04-10 18:21:31,DDoS,Low,Logged,TCP,Segment A,FTP,Firewall,77.73,69.29.17.248,85.236.61.31
2023-05-16 13:01:56,Malware,High,Blocked,TCP,Segment A,DNS,Firewall,97.82,170.211.138.30,172.97.181.148
2020-10-08 04:34:34,Intrusion,High,Blocked,ICMP,Segment C,HTTP,Server,83.36,107.247.253.62,45.35.146.21
2021-08-20 14:42:57,Malware,Medium,Blocked,TCP,Segment C,DNS,Firewall,40.71,118.175.170.127,43.100.128.47
2021-05-08 04:56:17,DDoS,High,Ignored,ICMP,Segment A,HTTP,Firewall,1.33,16.65.249.237,24.79.26.247
2023-01-18 01:12:24,DDoS,Low,Ignored,ICMP,Segment A,HTTP,Server,56.92,122.130.86.58,110.54.165.63
2021-04-16 12:48:40,DDoS,High,Blocked,ICMP,Segment B,HTTP,Server,0.9,193.45.37.6,191.56.96.54
2022-04-28 14:18:26,DDoS,Low,Blocked,UDP,Segment B,DNS,Firewall,77.7,68.123.14.202,168.106.24.90
2023-02-20 06:41:55,Intrusion,High,Logged,TCP,Segment B,FTP,Server,67.56,19.14.168.54,68.144.93.235
2020-12-13 02:43:04,Malware,Medium,Logged,TCP,Segment C,HTTP,Server,91.82,168.159.245.149,211.64.146.125
2022-08-20 07:46:57,Malware,Low,Logged,TCP,Segment C,FTP,Firewall,50.13,22.96.76.59,43.219.176.9
2022-05-23 04:50:39,Intrusion,Low,Blocked,UDP,Segment A,HTTP,Server,41.53,163.93.76.114,36.148.218.135
2020-01-12 11:01:33,DDoS,High,Blocked,ICMP,Segment C,HTTP,Server,91.21,37.225.176.201,204.179.190.185
2021-03-24 09:50:44,Malware,Low,Ignored,TCP,Segment C,HTTP,Server,82.8,123.233.44.106,154.223.194.82
2020-01-12 19:33:29,Intrusion,High,Ignored,ICMP,Segment A,DNS,Firewall,78.85,158.145.58.183,82.213.128.111
2021-10-08 21:42:19,DDoS,Low,Ignored,ICMP,Segment A,HTTP,Firewall,50.69,193.109.94.146,189.14.24.22
2022-08-17 19:20:40,Malware,High,Logged,UDP,Segment B,HTTP,Server,75.3,122.108.169.214,7.195.147.252
2022-08-17 02:04:53,DDoS,Low,Blocked,UDP,Segment C,FTP,Server,33.08,64.58.36.254,179.161.134.184
2020-03-10 04:31:21,Intrusion,High,Logged,UDP,Segment B,DNS,Server,7.27,61.217.244.146,167.60.226.61
2022-11-20 17:53:28,DDoS,Low,Ignored,TCP,Segment A,DNS,Server,76.68,21.23.245.141,135.172.206.155
2022-11-17 22:12:24,Intrusion,Medium,Logged,TCP,Segment C,FTP,Firewall,36.22,183.2.17.209,205.172.143.0
2022-01-08 09:48:37,Malware,High,Logged,UDP,Segment C,HTTP,Firewall,13.36,89.234.123.19,180.17.247.177
2020-03-03 01:54:03,Intrusion,Low,Ignored,UDP,Segment B,FTP,Server,69.01,157.164.90.122,7.220.81.96
2021-02-15 05:17:05,DDoS,High,Logged,UDP,Segment A,DNS,Firewall,4.74,123.185.30.222,22.188.5.93
2020-09-13 01:49:45,Malware,High,Logged,ICMP,Segment C,DNS,Firewall,51.66,185.157.240.136,107.0.155.243
2022-12-25 07:20:06,Intrusion,High,Blocked,TCP,Segment B,HTTP,Firewall,83.86,195.177.54.54,50.191.236.203
2021-01-27 22:49:34,Malware,Medium,Ignored,ICMP,Segment C,HTTP,Firewall,79.61,221.219.44.103,36.211.253.244
2023-05-30 17:14:15,Malware,Low,Blocked,ICMP,Segment A,DNS,Server,14.95,86.165.141.178,19.155.138.245
2020-06-30 01:24:54,Malware,Medium,Logged,TCP,Segment B,DNS,Firewall,12.1,70.228.121.60,204.219.67.217
2020-07-07 03:50:24,Intrusion,High,Ignored,ICMP,Segment B,HTTP,Server,3.33,201.86.3.78,13.200.168.199
2020-03-18 07:33:47,Intrusion,Low,Blocked,UDP,Segment B,HTTP,Server,18.93,61.152.211.241,155.90.185.195
2020-03-09 20:24:39,DDoS,Low,Ignored,ICMP,Segment B,DNS,Server,96.83,46.229.143.176,218.214.206.217
2023-07-07 19:15:20,Intrusion,Low,Logged,UDP,Segment C,DNS,Firewall,82.75,38.130.51.208,190.9.156.57
2022-12-25 22:00:40,Intrusion,High,Logged,UDP,Segment A,HTTP,Server,88.16,27.57.214.142,46.220.52.17
2021-04-12 15:06:50,Malware,Medium,Blocked,UDP,Segment C,FTP,Server,45.33,86.45.110.141,92.133.40.138
2021-04-20 21:58:18,Intrusion,Low,Logged,ICMP,Segment A,HTTP,Firewall,91.08,29.187.204.185,178.79.44.158
2023-06-06 06:31:08,Intrusion,Low,Logged,UDP,Segment B,DNS,Firewall,45.27,168.230.63.34,170.34.138.235
2021-07-11 05:34:04,Malware,Low,Ignored,TCP,Segment A,HTTP,Firewall,51.59,221.187.162.221,174.67.68.203
2020-12-24 16:18:22,Intrusion,Low,Ignored,TCP,Segment C,HTTP,Server,73.69,199.219.72.118,159.213.20.78
2023-09-13 02:42:05,Intrusion,High,Blocked,ICMP,Segment B,HTTP,Server,27.25,44.24.112.64,71.28.47.114
2023-01-23 09:24:38,Malware,Low,Logged,ICMP,Segment A,FTP,Server,81.43,107.70.70.221,38.176.49.37
2022-04-05 01:54:33,Intrusion,Low,Blocked,ICMP,Segment A,DNS,Firewall,89.28,118.36.129.69,31.41.38.21
2020-09-30 07:06:33,Intrusion,Medium,Ignored,UDP,Segment B,DNS,Firewall,43.95,76.111.202.72,42.40.168.103
2023-08-06 09:00:12,DDoS,Medium,Blocked,TCP,Segment A,DNS,Firewall,1.31,148.126.105.201,125.5.69.191
2022-11-20 04:12:04,Malware,High,Logged,UDP,Segment A,HTTP,Server,98.14,130.204.139.35,165.165.89.101
2020-03-17 07:02:13,Malware,Medium,Logged,ICMP,Segment B,FTP,Firewall,84.95,100.247.164.6,154.189.148.49
2020-08-08 23:19:34,Malware,Medium,Blocked,UDP,Segment C,HTTP,Firewall,14.56,88.204.79.6,64.153.177.110
2022-03-21 14:41:34,Malware,Medium,Logged,TCP,Segment B,HTTP,Firewall,31.8,149.253.227.55,77.40.158.129
2023-02-13 19:15:26,Malware,Low,Logged,UDP,Segment A,DNS,Server,3.7,160.148.168.183,214.36.26.162
2022-10-13 04:35:33,Intrusion,Medium,Logged,ICMP,Segment C,HTTP,Server,97.64,75.160.180.145,149.125.243.212
2021-11-24 20:11:15,DDoS,High,Ignored,UDP,Segment C,FTP,Firewall,58.19,169.21.155.127,171.38.239.42
2021-12-31 11:46:47,Intrusion,Medium,Blocked,TCP,Segment C,HTTP,Server,10.44,92.192.73.229,72.77.74.9
2021-10-25 04:23:15,Malware,High,Ignored,ICMP,Segment C,HTTP,Server,5.39,129.189.216.143,197.202.27.160
2022-04-25 20:26:30,Intrusion,Medium,Ignored,ICMP,Segment B,HTTP,Server,91.79,60.223.224.39,218.187.232.192
2022-03-17 23:44:57,Intrusion,Low,Ignored,ICMP,Segment C,FTP,Server,70.26,172.26.245.135,21.131.246.181
2022-11-03 14:58:44,Malware,Medium,Ignored,UDP,Segment B,DNS,Firewall,86.55,57.64.88.197,117.180.242.111
2023-03-31 19:19:56,Malware,Medium,Blocked,TCP,Segment C,HTTP,Firewall,11.11,144.98.223.88,121.165.184.11
2020-11-22 13:01:36,DDoS,Low,Ignored,ICMP,Segment C,FTP,Server,71.02,217.68.188.168,197.49.231.196
2020-04-05 09:55:48,Malware,Medium,Ignored,ICMP,Segment C,DNS,Firewall,51.68,205.63.22.106,64.111.164.43
2020-12-09 14:27:45,DDoS,High,Ignored,TCP,Segment C,HTTP,Firewall,43.23,216.215.211.18,183.6.121.71
2022-10-30 05:51:47,Intrusion,Low,Blocked,ICMP,Segment C,DNS,Server,47.31,62.75.113.77,216.196.28.158
2020-10-18 14:09:21,Intrusion,Low,Ignored,TCP,Segment C,DNS,Server,77.67,59.130.224.255,74.58.58.46
2023-07-07 17:18:58,Intrusion,Low,Ignored,TCP,Segment A,HTTP,Server,20.66,174.146.252.123,107.24.14.107
2023-07-10 14:54:07,Malware,Low,Blocked,ICMP,Segment C,FTP,Firewall,90.92,43.21.38.240,41.177.63.177
2022-06-18 23:08:42,DDoS,Low,Logged,ICMP,Segment B,FTP,Server,64.89,140.199.137.100,117.235.111.116
2023-08-11 09:21:02,Intrusion,Low,Blocked,UDP,Segment A,HTTP,Server,77.07,144.25.158.239,109.197.80.147
2021-10-03 00:19:39,Intrusion,Low,Logged,UDP,Segment B,DNS,Server,53.38,206.106.57.176,81.164.233.152
2023-06-28 04:34:40,DDoS,High,Logged,ICMP,Segment A,DNS,Firewall,22.74,123.171.184.232,110.132.126.21
2021-01-04 15:33:58,Malware,High,Blocked,TCP,Segment B,FTP,Firewall,81.87,164.100.122.239,98.123.107.77
2023-08-19 16:40:19,DDoS,High,Logged,TCP,Segment A,DNS,Firewall,98.62,90.212.23.56,68.159.228.93
2023-08-11 07:44:05,DDoS,High,Blocked,UDP,Segment C,FTP,Firewall,14.41,24.22.149.26,146.21.102.253
2023-03-13 10:14:12,DDoS,Medium,Ignored,ICMP,Segment A,HTTP,Server,41.28,194.234.162.202,147.51.254.72
2021-01-31 02:34:53,DDoS,High,Logged,TCP,Segment B,DNS,Firewall,36.28,123.137.242.84,218.199.100.246
2020-10-08 04:36:39,Malware,High,Ignored,TCP,Segment A,FTP,Firewall,61.3,72.133.31.200,105.23.80.132
2020-07-15 06:22:35,Intrusion,Medium,Ignored,UDP,Segment B,DNS,Firewall,36.95,192.71.135.165,9.53.243.2
2020-03-24 05:59:35,Intrusion,High,Logged,TCP,Segment A,FTP,Firewall,55.44,175.197.78.254,78.172.11.97
2021-12-20 10:55:41,Malware,Medium,Ignored,ICMP,Segment B,HTTP,Firewall,69.73,52.60.84.83,144.62.44.31
2022-08-19 13:09:54,Intrusion,Medium,Logged,UDP,Segment C,HTTP,Server,2.88,46.227.63.254,202.242.212.55
2021-12-22 06:08:21,DDoS,Medium,Blocked,UDP,Segment B,HTTP,Firewall,23.53,55.254.137.72,207.157.165.225
2023-06-21 00:16:10,Intrusion,Low,Blocked,UDP,Segment B,DNS,Server,97.16,158.64.80.181,47.104.175.219
2021-10-20 10:04:33,Malware,Medium,Ignored,ICMP,Segment A,FTP,Firewall,32.02,205.187.4.102,204.181.156.0
2022-05-29 09:29:50,Malware,Medium,Blocked,TCP,Segment B,DNS,Firewall,2.26,73.162.206.250,73.201.71.6
2022-04-26 14:58:11,DDoS,Low,Ignored,ICMP,Segment C,HTTP,Server,10.59,139.195.148.49,193.199.239.126
2023-07-25 05:14:41,Malware,Medium,Logged,UDP,Segment B,FTP,Server,4.38,50.222.101.194,18.182.113.129
2023-08-17 00:55:44,DDoS,Low,Ignored,UDP,Segment C,HTTP,Server,75.09,215.251.119.225,157.91.254.247
2022-06-07 09:29:05,Intrusion,Low,Blocked,UDP,Segment A,FTP,Firewall,28.13,194.248.29.212,206.207.199.114
2021-10-24 19:49:55,DDoS,Low,Ignored,TCP,Segment A,FTP,Server,26.7,51.131.211.140,48.127.124.127
2023-03-31 16:02:15,Intrusion,Low,Logged,ICMP,Segment C,DNS,Firewall,98.88,36.70.101.165,33.185.161.157
2023-02-02 22:53:53,Malware,Low,Logged,UDP,Segment C,DNS,Firewall,81.92,63.65.61.99,145.138.218.23
2022-10-20 14:11:36,Malware,High,Ignored,UDP,Segment A,FTP,Firewall,31.48,196.194.50.241,215.5.7.197
2023-06-11 18:05:49,Malware,Low,Ignored,UDP,Segment C,HTTP,Server,60.18,45.62.161.202,31.226.121.151
2021-01-28 14:22:51,Intrusion,High,Logged,ICMP,Segment C,HTTP,Server,70.62,46.144.162.187,55.136.160.245
2022-07-28 12:21:47,DDoS,High,Blocked,UDP,Segment B,DNS,Firewall,81.66,123.195.89.57,91.194.147.130
2023-09-08 16:35:04,Malware,Medium,Blocked,ICMP,Segment C,FTP,Firewall,70.34,87.204.43.49,116.107.209.186
2021-08-22 15:05:02,Intrusion,Low,Logged,ICMP,Segment A,DNS,Firewall,1.19,89.77.186.73,206.207.48.46
2021-08-20 11:49:10,Malware,Medium,Ignored,TCP,Segment B,DNS,Server,20.86,175.156.131.104,59.14.235.25
2021-06-03 18:53:00,DDoS,Low,Logged,UDP,Segment B,FTP,Firewall,46.97,31.216.17.77,5.35.109.169
2021-03-19 20:59:42,Malware,High,Ignored,ICMP,Segment A,FTP,Firewall,23.82,158.120.65.227,150.9.27.19
2020-03-09 06:51:16,DDoS,Medium,Logged,ICMP,Segment A,FTP,Firewall,56.0,124.124.105.74,47.212.142.21
2021-02-08 00:59:54,Intrusion,High,Ignored,ICMP,Segment A,HTTP,Server,15.8,10.90.47.5,117.97.204.110
2023-01-28 18:14:52,DDoS,High,Logged,ICMP,Segment C,FTP,Firewall,51.0,187.197.11.144,152.193.86.107
2021-06-30 00:40:16,Intrusion,High,Logged,ICMP,Segment B,HTTP,Firewall,28.61,159.102.43.101,34.167.108.175
2020-04-02 01:13:58,Intrusion,Low,Logged,UDP,Segment B,HTTP,Firewall,68.84,88.65.239.52,21.79.133.234
2022-04-08 10:28:48,DDoS,Low,Logged,UDP,Segment B,DNS,Server,61.62,125.111.212.249,19.83.69.229
2020-03-21 04:09:20,DDoS,Medium,Ignored,TCP,Segment A,DNS,Firewall,64.44,104.156.21.123,136.66.208.155
2023-06-30 09:31:21,DDoS,Low,Ignored,ICMP,Segment C,DNS,Firewall,11.94,209.161.38.244,46.226.152.179
2020-09-08 00:32:36,Intrusion,High,Ignored,UDP,Segment B,DNS,Server,91.04,202.11.63.49,158.144.143.90
2021-01-18 23:39:36,DDoS,High,Logged,ICMP,Segment B,FTP,Server,83.16,56.200.187.27,49.24.193.94
2022-04-25 15:58:13,DDoS,High,Ignored,UDP,Segment A,DNS,Firewall,52.98,52.18.54.120,7.198.146.170
2020-03-19 04:35:54,Intrusion,High,Logged,ICMP,Segment C,FTP,Firewall,20.25,212.145.135.159,3.118.79.165
2022-12-10 16:08:51,Malware,Medium,Blocked,TCP,Segment A,HTTP,Firewall,78.06,69.164.58.219,9.31.161.82
2022-06-30 11:44:53,Intrusion,Low,Logged,TCP,Segment C,FTP,Firewall,0.12,58.243.244.213,110.212.170.21
2020-06-08 07:02:00,DDoS,Medium,Blocked,TCP,Segment A,HTTP,Server,87.11,203.33.240.253,56.220.194.14
2021-03-16 01:46:13,DDoS,High,Blocked,ICMP,Segment B,HTTP,Firewall,13.21,26.247.4.109,85.69.149.85
2021-02-01 03:38:35,Intrusion,Low,Ignored,UDP,Segment C,HTTP,Firewall,17.75,223.213.102.111,91.20.53.117
2022-11-18 22:16:27,DDoS,Low,Ignored,UDP,Segment C,HTTP,Firewall,7.38,44.67.194.108,74.34.94.239
2021-12-25 17:30:06,Malware,Low,Logged,TCP,Segment A,DNS,Server,53.02,79.171.1.155,121.217.211.213
2022-03-22 11:32:28,DDoS,High,Logged,UDP,Segment A,HTTP,Server,53.91,187.142.95.56,100.253.162.223
2020-06-19 02:52:10,DDoS,Low,Blocked,ICMP,Segment A,FTP,Firewall,27.15,152.65.55.56,8.30.176.111
2022-12-13 17:01:36,Malware,Medium,Ignored,UDP,Segment A,FTP,Server,69.65,134.62.160.122,50.53.189.125
2023-03-26 11:18:12,Malware,Low,Blocked,TCP,Segment C,FTP,Server,29.25,210.18.79.37,43.250.137.209
2022-09-28 14:52:44,DDoS,Low,Ignored,ICMP,Segment C,FTP,Server,20.55,220.9.223.196,11.39.120.114
2020-07-16 12:19:07,Intrusion,High,Logged,ICMP,Segment A,FTP,Server,85.22,39.141.115.202,109.9.240.107
2022-10-22 04:30:33,Intrusion,Medium,Logged,UDP,Segment A,DNS,Firewall,40.87,197.119.239.236,71.203.239.172
2020-12-28 10:10:15,Intrusion,Low,Blocked,ICMP,Segment A,DNS,Firewall,19.3,14.59.56.74,75.118.190.146
2020-12-23 16:47:04,DDoS,Low,Blocked,TCP,Segment A,DNS,Server,53.08,157.38.225.119,111.141.97.180
2022-09-13 14:15:03,Malware,Low,Ignored,TCP,Segment C,DNS,Firewall,50.59,160.146.191.30,204.129.91.203
2021-02-15 05:51:12,DDoS,Low,Ignored,UDP,Segment C,HTTP,Server,71.35,208.69.237.108,116.12.80.116
2021-10-28 22:47:37,DDoS,High,Logged,ICMP,Segment A,FTP,Firewall,88.21,21.212.222.254,188.5.118.35
2020-06-08 21:47:40,Intrusion,Low,Ignored,TCP,Segment C,FTP,Firewall,2.09,104.75.100.253,12.163.45.8
2022-11-06 05:19:08,Malware,High,Logged,ICMP,Segment B,FTP,Firewall,67.74,181.12.178.114,5.54.3.221
2022-04-23 06:04:38,Intrusion,High,Ignored,ICMP,Segment C,FTP,Firewall,40.88,183.172.156.120,157.5.83.69
2021-01-28 02:27:50,DDoS,High,Ignored,TCP,Segment B,FTP,Server,68.95,74.216.222.94,138.230.84.186
2021-09-07 23:26:04,Intrusion,Low,Ignored,UDP,Segment B,DNS,Firewall,47.58,147.145.65.128,7.133.41.239
2020-10-08 21:31:02,Malware,Low,Ignored,UDP,Segment B,DNS,Firewall,28.97,102.23.64.2,184.99.107.184
2022-09-27 09:40:00,Malware,Low,Blocked,TCP,Segment A,DNS,Firewall,8.21,30.29.44.104,55.210.48.133
2021-06-05 03:46:42,DDoS,Low,Blocked,TCP,Segment B,HTTP,Server,12.55,147.173.11.4,182.11.110.8
2021-03-31 11:29:37,Malware,High,Ignored,TCP,Segment A,DNS,Firewall,14.2,205.46.59.104,47.182.229.23
2020-04-17 00:21:08,DDoS,Medium,Logged,UDP,Segment C,HTTP,Server,42.76,182.22.10.254,31.243.169.112
2023-10-02 03:10:24,Intrusion,High,Blocked,TCP,Segment B,FTP,Server,6.09,206.182.94.109,171.247.4.156
2023-03-15 04:35:38,DDoS,Low,Logged,TCP,Segment A,DNS,Server,0.19,190.109.214.204,143.206.49.2
2023-04-29 03:13:32,Malware,Low,Blocked,TCP,Segment C,DNS,Firewall,59.04,175.227.219.0,175.204.107.216
2020-10-26 01:05:31,Malware,Medium,Blocked,UDP,Segment B,FTP,Server,7.62,215.102.228.36,49.126.133.177
2023-02-05 01:14:18,DDoS,Low,Ignored,UDP,Segment C,HTTP,Server,33.73,142.221.128.188,64.112.118.102
2020-04-25 06:37:33,DDoS,Low,Logged,ICMP,Segment C,DNS,Server,23.75,121.69.27.10,156.223.190.24
2021-08-05 14:27:27,Malware,Low,Blocked,TCP,Segment A,DNS,Server,81.2,88.28.87.41,122.21.158.210
2022-02-22 05:36:14,DDoS,Low,Logged,ICMP,Segment B,FTP,Firewall,43.69,95.188.115.128,110.174.196.227
2022-03-16 13:33:32,Malware,High,Logged,TCP,Segment B,DNS,Firewall,71.76,62.156.64.165,216.250.141.138
2021-09-11 13:05:56,DDoS,Low,Logged,TCP,Segment C,DNS,Server,93.61,192.217.21.40,34.96.135.41
2022-10-16 05:26:43,Intrusion,Low,Blocked,TCP,Segment A,FTP,Server,38.07,198.249.153.149,152.65.175.192
2021-03-14 01:11:09,Intrusion,High,Logged,UDP,Segment C,HTTP,Firewall,59.34,110.238.142.101,165.183.173.131
2021-01-30 22:12:29,Intrusion,Low,Logged,ICMP,Segment A,HTTP,Firewall,12.72,199.1.140.129,109.89.146.42
2021-01-01 11:50:19,Malware,High,Blocked,UDP,Segment C,DNS,Firewall,88.25,205.37.0.136,82.243.180.194
2020-08-08 06:13:44,Malware,High,Blocked,TCP,Segment B,FTP,Firewall,13.57,133.45.221.126,91.73.252.92
2021-10-22 15:43:07,Malware,Medium,Logged,UDP,Segment C,DNS,Firewall,73.58,166.253.212.92,87.142.87.242
2020-09-21 20:12:41,DDoS,Low,Ignored,TCP,Segment B,DNS,Server,30.26,133.109.76.93,115.202.177.66
2021-11-02 05:56:15,Malware,High,Logged,UDP,Segment A,FTP,Firewall,84.4,12.17.46.235,65.44.31.247
2020-06-10 03:22:14,Intrusion,Low,Logged,UDP,Segment C,FTP,Server,48.49,190.80.20.82,6.201.62.32
2023-01-06 00:59:16,Intrusion,Medium,Logged,UDP,Segment A,HTTP,Server,76.24,183.7.190.179,156.179.93.15
2023-04-03 13:37:36,Intrusion,High,Ignored,TCP,Segment B,FTP,Firewall,41.04,122.237.47.8,84.56.120.189
2022-10-05 23:52:40,Malware,Low,Blocked,UDP,Segment B,HTTP,Firewall,96.96,168.19.48.227,6.15.46.182
2020-07-14 16:51:29,DDoS,Medium,Blocked,UDP,Segment C,FTP,Firewall,63.6,20.79.145.101,90.149.57.59
2022-08-08 15:27:47,DDoS,Medium,Logged,TCP,Segment B,FTP,Firewall,64.34,131.22.254.220,162.90.72.92
2023-06-08 19:14:06,Intrusion,Low,Ignored,ICMP,Segment A,HTTP,Server,52.99,59.140.144.62,194.166.45.88
2020-08-12 00:11:20,Intrusion,Medium,Logged,UDP,Segment B,FTP,Firewall,84.7,212.253.164.191,17.62.29.174
2023-02-20 15:40:11,Intrusion,Medium,Logged,UDP,Segment B,HTTP,Server,11.33,170.252.196.163,122.126.217.52
2022-05-28 02:26:58,Intrusion,High,Blocked,UDP,Segment C,FTP,Firewall,4.59,107.230.81.225,40.251.72.255
2021-05-05 00:29:18,Malware,High,Ignored,UDP,Segment B,FTP,Firewall,56.53,52.7.38.83,222.221.33.153
2022-12-25 16:18:00,Intrusion,Low,Blocked,UDP,Segment A,HTTP,Firewall,77.28,186.78.173.116,131.169.236.53
2021-04-27 04:41:25,DDoS,High,Ignored,ICMP,Segment C,HTTP,Firewall,27.08,124.234.171.49,169.38.104.61
2022-09-28 01:10:28,Malware,Low,Blocked,TCP,Segment B,DNS,Server,78.61,84.34.195.12,145.191.183.18
2023-06-23 18:01:25,Intrusion,Low,Ignored,TCP,Segment A,DNS,Server,47.7,61.189.101.6,171.179.184.111
2022-12-18 03:43:19,Intrusion,Medium,Blocked,UDP,Segment B,FTP,Firewall,38.2,220.84.129.101,54.121.189.29
